Consultas,Historia de Madrid,El Palacio Real,Museo del Prado,Parque del Retiro,Gastronomía Madrileña,Gran Vía,Real Madrid y el Estadio Santiago Bernabéu,Navidad en Madrid,Nochevieja en Puerta del Sol,Madrid Río,Historia de Dortmund,Westfalenpark,Museo del Fútbol Alemán,Mercado de Navidad de Dortmund,U-Tower - Centro de Arte y Creatividad,Borussia Dortmund y el Signal Iduna Park,La cervecería Dortmund,La Reinoldikirche,Dortmund durante la Segunda Guerra Mundial,Zoológico de Dortmund
Clubes de fútbol famosos y sus estadios en Europa,0.2784450494615055,0.3402069087198858,0.2785430072655778,0.2785430072655778,0.17928429140015903,0.31277162108561213,0.45267873021259264,0.25515518153991434,0.17149858514250882,0.27386127875258304,0.24282146558931603,0.37904902178945166,0.3032392174315613,0.3227486121839514,0.3405026123034994,0.45267873021259264,0.21596710639534,0.24514516892273,0.32732683535398854,0.3563483225498991
Transformación urbana y regeneración de espacios,0.3018927632559766,0.38729833462074165,0.29361010975735174,0.35233213170882205,0.15118578920369088,0.3296902366978935,0.2290393337255473,0.2581988897471611,0.21693045781865616,0.28867513459481287,0.12285902336679023,0.33562431103976886,0.09589266029707681,0.40824829046386296,0.5383819020581655,0.28629916715693415,0.2185433458832612,0.31008683647302115,0.20701966780270625,0.3944053188733077
Tradición cervecera en ciudades europeas,0.0649569802461631,0.0,0.0,0.0,0.09759000729485333,0.0,0.0739221270954573,0.08333333333333334,0.0700140042014005,0.14907119849998599,0.23791547571544328,0.12379689211803456,0.18569533817705183,0.0,0.0,0.1478442541909146,0.14106912317171966,0.0,0.1781741612749496,0.07273929674533079
Mercados y comercio tradicional en Europa,0.1687631851389036,0.14433756729740643,0.13130643285972254,0.06565321642986127,0.1690308509457033,0.14744195615489714,0.19205531989934396,0.2886751345948129,0.06063390625908324,0.2581988897471611,0.27472112789737807,0.26802813370944867,0.21442250696755896,0.18257418583505536,0.1805787796286538,0.25607375986579195,0.06108472217815261,0.06933752452815364,0.3086066999241838,0.2519763153394848
Centros de arte y creatividad en ciudades modernas,0.3522082237986393,0.38729833462074165,0.35233213170882205,0.29361010975735174,0.2267786838055363,0.3296902366978935,0.28629916715693415,0.3227486121839514,0.21693045781865616,0.3464101615137754,0.3071475584169756,0.4315169713368457,0.23973165074269204,0.40824829046386296,0.5383819020581655,0.4008188340197078,0.2185433458832612,0.31008683647302115,0.34503277967117707,0.4507489358552088
Actividades de ocio y entretenimiento en ciudades metropolitanas,0.3937807653241084,0.4330127018922193,0.32826608214930636,0.32826608214930636,0.253546276418555,0.3686048903872428,0.32009219983223997,0.36084391824351614,0.24253562503633297,0.45184805705753195,0.3434014098717226,0.48245064067700766,0.26802813370944867,0.45643546458763845,0.4815434123430768,0.44812907976513594,0.24433888871261045,0.34668762264076824,0.38575837490522974,0.5039526306789696
Conservación de la naturaleza y la vida silvestre en zonas urbanas,0.39136243683065103,0.3955774026426199,0.2076136996343499,0.4152273992686998,0.16035674514745463,0.32637668288410976,0.202444082544729,0.41079191812887456,0.3834824944236852,0.3265986323710904,0.30406056993414854,0.4407412773535267,0.23732222626728358,0.3464101615137754,0.3806934938134405,0.3643993485805122,0.30906696371450226,0.39467610868816316,0.4391550328268399,0.557773351022717
Planificación de eventos culturales y festivales en ciudades,0.45469886172314167,0.5,0.3790490217894517,0.3790490217894517,0.29277002188455997,0.4256282653793743,0.36961063547728645,0.41666666666666674,0.280056016805602,0.447213595499958,0.39652579285907213,0.5570860145311556,0.3094922302950864,0.5270462766947299,0.5560384374855327,0.5174548896682011,0.2821382463434393,0.4003203845127179,0.44543540318737396,0.5819143739626463
Desarrollo del transporte y la infraestructura urbana,0.281271975231506,0.24056261216234406,0.32826608214930636,0.32826608214930636,0.08451542547285165,0.2211629342323457,0.19205531989934396,0.2886751345948129,0.36380343755449945,0.2581988897471611,0.20604084592303354,0.21442250696755896,0.3216337604513384,0.22821773229381923,0.2407717061715384,0.19205531989934396,0.18325416653445784,0.2773500981126146,0.3086066999241838,0.314970394174356
Impacto de la tecnología en la vida urbana,0.3580007778790785,0.37422759959187435,0.1392715036327889,0.4642383454426296,0.11952286093343936,0.26064301757134345,0.1358036190637778,0.3572172541558801,0.38587181657064484,0.27386127875258304,0.29138575870717925,0.4169539239683968,0.22742941307367098,0.2904737509655563,0.29793978576556196,0.31687511114881484,0.302353948953476,0.39223227027636803,0.38188130791298663,0.4008918628686365
